step,price,realized_pnl,forced_exit,exit_reason
1677,83124.953125,0.0,False,
1678,83093.6875,0.0,False,
1679,83651.1484375,0.0,False,
1680,83680.1171875,0.0,False,
1681,83444.8828125,0.0,False,
1682,83919.6796875,0.0,False,
1683,83785.578125,0.0,False,
1684,83577.140625,0.0,False,
1685,83286.6328125,0.0,False,
1696,81044.71875,-303.6489917109866,True,stop_loss
1697,80876.359375,-303.6489917109866,False,
1698,80064.0,-303.6489917109866,False,
1699,80820.046875,-303.6489917109866,False,
1700,80211.3984375,-303.6489917109866,False,
1701,80379.046875,-303.6489917109866,False,
1702,80819.9921875,-303.6489917109866,False,
1703,81395.5390625,-303.6489917109866,False,
1704,81115.78125,-303.6489917109866,False,
1717,83420.8671875,31.621072184960497,True,take_profit
1718,83602.15625,31.621072184960497,False,
1719,83524.796875,31.621072184960497,False,
1720,84724.578125,31.621072184960497,False,
1721,84787.3671875,31.621072184960497,False,
1722,84365.1796875,31.621072184960497,False,
1764,82410.0234375,-190.51987117275067,True,stop_loss
1765,82755.890625,-190.51987117275067,False,
1766,82596.1015625,-190.51987117275067,False,
1767,83373.15625,-190.51987117275067,False,
1768,83320.828125,-190.51987117275067,False,
1769,83634.53125,-190.51987117275067,False,
1775,82093.7109375,-322.48881236877173,True,stop_loss
1776,82574.53125,-322.48881236877173,False,
1777,83054.90625,-322.48881236877173,False,
1778,83233.796875,-322.48881236877173,False,
1779,83212.5078125,-322.48881236877173,False,
1780,83675.6484375,-322.48881236877173,False,
1795,84496.578125,-176.1353374537202,True,take_profit
1796,84482.546875,-176.1353374537202,False,
1797,83954.359375,-176.1353374537202,False,
1798,84077.796875,-176.1353374537202,False,
1799,84061.1875,-176.1353374537202,False,
1800,84010.03125,-176.1353374537202,False,
1802,83161.96875,-296.68308409155276,True,stop_loss
1803,83367.640625,-296.68308409155276,False,
1804,83147.6015625,-296.68308409155276,False,
1805,82989.109375,-296.68308409155276,False,
1806,83010.8671875,-296.68308409155276,False,
1807,82450.0078125,-367.3130993552873,True,stop_loss
1808,83163.8125,-367.3130993552873,False,
1809,83281.2890625,-367.3130993552873,False,
1810,82840.5078125,-367.3130993552873,False,
1811,82819.6484375,-367.3130993552873,False,
1812,82581.1015625,-367.3130993552873,False,
1814,81366.640625,-557.6891291214503,True,stop_loss
1815,81854.7109375,-557.6891291214503,False,
1816,81610.2109375,-557.6891291214503,False,
1817,81851.5078125,-557.6891291214503,False,
1818,81466.703125,-557.6891291214503,False,
1819,81889.3828125,-557.6891291214503,False,
1836,83881.3984375,-321.3047083574457,True,take_profit
1837,83748.75,-321.3047083574457,False,
1838,84092.15625,-321.3047083574457,False,
1839,84318.59375,-321.3047083574457,False,
1840,84733.046875,-321.3047083574457,False,
1841,84574.0078125,-321.3047083574457,False,
1843,85612.25,-180.8563402642645,True,take_profit
1844,85433.3828125,-180.8563402642645,False,
1845,85353.9921875,-180.8563402642645,False,
1846,85635.9921875,-180.8563402642645,False,
1847,86158.5234375,-180.8563402642645,False,
1848,86845.9375,-180.8563402642645,False,
1865,83802.0078125,-425.794734033278,True,stop_loss
1866,84093.4296875,-425.794734033278,False,
1867,84060.53125,-425.794734033278,False,
