step,price,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
49,97950.0078125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
50,98040.0,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
51,98304.5078125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
52,98200.0,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
53,98001.0,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
54,98126.2109375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
55,98127.5390625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
56,98271.8828125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
57,97906.0703125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
58,97690.3671875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
59,97789.3203125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
60,97889.390625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
61,97888.1171875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
62,97973.046875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
63,98035.0390625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
64,97657.9375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
65,97704.6015625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
66,98016.2578125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
67,97961.5625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
68,98166.2578125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
69,98599.0234375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
70,98362.4296875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
71,98417.25,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
72,98220.5,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
73,98213.4296875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
74,98123.53125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
75,98227.4765625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
76,98187.9609375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
77,98357.4609375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
78,98358.9765625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
79,98451.46875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
80,98268.7734375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
81,97861.0390625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
82,97652.203125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
83,97737.4765625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
84,97641.6328125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
85,97770.0078125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
86,97689.9609375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
87,97855.0625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
88,98028.9765625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
89,98035.171875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
90,97731.078125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
91,97918.90625,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
92,98079.6328125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
93,98275.7109375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
94,98496.5234375,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
