step,raw_action,target_weight,position_weight,risk_multiplier,forced_exit,exit_reason
1840,-1.0,0.0,0.0,1.0,False,
1841,-1.0,0.0,0.0,1.0,False,
1842,0.8468359708786011,0.42341798543930054,0.2,1.0,False,
1843,-1.0,0.0,0.0,1.0,False,
1844,-1.0,0.0,0.0,1.0,False,
1845,-0.8246027231216431,0.0,0.0,1.0,False,
1846,-1.0,0.0,0.0,1.0,False,
1847,-1.0,0.0,0.0,1.0,False,
1848,-0.30677518248558044,0.0,0.0,1.0,False,
1849,-1.0,0.0,0.0,1.0,False,
1850,-0.8127645254135132,0.0,0.0,1.0,False,
1851,-0.698534369468689,0.0,0.0,1.0,False,
1852,-0.9149806499481201,0.0,0.0,1.0,False,
1853,0.5285193920135498,0.2642596960067749,0.2,1.0,False,
1854,0.08042900264263153,0.2401545293099206,0.2401545293099206,1.0,False,
1855,0.17368267476558685,0.32698549341145167,0.32698549341145167,1.0,False,
1856,-1.0,0.0,0.12697045690309727,1.0,False,
1857,-0.4990048408508301,0.0,0.0,1.0,False,
1858,-0.925066351890564,0.0,0.0,1.0,False,
1859,-1.0,0.0,0.0,1.0,False,
1860,-1.0,0.0,0.0,1.0,False,
1861,-1.0,0.0,0.0,1.0,False,
1862,-1.0,0.0,0.0,1.0,False,
1863,-1.0,0.0,0.0,1.0,False,
1864,-1.0,0.0,0.0,1.0,False,
1865,-1.0,0.0,0.0,1.0,False,
1866,-0.35978394746780396,0.0,0.0,1.0,False,
1867,-1.0,0.0,0.0,1.0,False,
1868,-1.0,0.0,0.0,1.0,False,
1869,-1.0,0.0,0.0,1.0,False,
1870,-1.0,0.0,0.0,1.0,False,
1871,-1.0,0.0,0.0,1.0,False,
1872,-1.0,0.0,0.0,1.0,False,
1873,-1.0,0.0,0.0,1.0,False,
1874,-1.0,0.0,0.0,1.0,False,
1875,-1.0,0.0,0.0,1.0,False,
1876,-1.0,0.0,0.0,1.0,False,
1877,-1.0,0.0,0.0,1.0,False,
1878,-1.0,0.0,0.0,1.0,False,
1879,-1.0,0.0,0.0,1.0,False,
1880,-1.0,0.0,0.0,1.0,False,
1881,-0.23170046508312225,0.0,0.0,1.0,False,
1882,-1.0,0.0,0.0,1.0,False,
1883,-1.0,0.0,0.0,1.0,False,
1884,-1.0,0.0,0.0,1.0,False,
1885,-1.0,0.0,0.0,1.0,False,
1886,0.004586534574627876,0.002293267287313938,0.002293267287313938,1.0,False,
1887,-0.9436720609664917,0.0,0.0,1.0,False,
1888,-0.7583073377609253,0.0,0.0,1.0,False,
1889,-1.0,0.0,0.0,1.0,False,
1890,-0.6743725538253784,0.0,0.0,1.0,False,
1891,-0.590935468673706,0.0,0.0,1.0,False,
1892,-1.0,0.0,0.0,1.0,False,
1893,-1.0,0.0,0.0,1.0,False,
1894,-1.0,0.0,0.0,1.0,False,
1895,-0.9494743347167969,0.0,0.0,1.0,False,
1896,-1.0,0.0,0.0,1.0,False,
1897,-1.0,0.0,0.0,1.0,False,
1898,-1.0,0.0,0.0,1.0,False,
1899,-1.0,0.0,0.0,1.0,False,
1900,-1.0,0.0,0.0,1.0,False,
1901,-1.0,0.0,0.0,1.0,False,
1902,-1.0,0.0,0.0,1.0,False,
1903,-1.0,0.0,0.0,1.0,False,
1904,-1.0,0.0,0.0,1.0,False,
1905,-0.6327872276306152,0.0,0.0,1.0,False,
1906,-0.7695586681365967,0.0,0.0,1.0,False,
1907,-1.0,0.0,0.0,1.0,False,
1908,-1.0,0.0,0.0,1.0,False,
1909,-1.0,0.0,0.0,1.0,False,
1910,-1.0,0.0,0.0,1.0,False,
1911,-1.0,0.0,0.0,1.0,False,
1912,-0.5591252446174622,0.0,0.0,1.0,False,
1913,-1.0,0.0,0.0,1.0,False,
1914,1.0,0.5,0.2,1.0,False,
1915,-1.0,0.0,0.0,1.0,False,
