step,price,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
1840,84733.046875,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
1841,84574.0078125,10000.0,10000.0,0.0,0.0,0.0,0.0,[0.0],False,
1842,84230.96875,9998.000499750126,7999.0,0.00019995002498744726,0.0,-0.999500249874999,-0.02021233325914277,[np.float64(0.1999400279886048)],False,
1843,85612.25,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.29801534944605296,[np.float64(0.0)],False,
1844,85433.3828125,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1845,85353.9921875,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1846,85635.9921875,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1847,86158.5234375,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1848,86845.9375,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1849,86017.6796875,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1850,85867.9609375,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1851,86065.5078125,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1852,85891.0234375,10028.75030355365,10028.75030355365,0.0,30.765686396849095,0.0,0.0,[np.float64(0.0)],False,
1853,85684.78125,10026.745054679861,8021.997367812564,0.00019995002498752904,30.765686396849095,-1.002373843433542,-0.02021233325915095,[np.float64(0.19994002798860483)],False,
1854,85827.28125,10029.678508273779,7621.1098276656,0.0,30.765686396849095,2.1314233487589216,0.029207731070682936,[np.float64(0.24014415602865824)],False,
1855,85759.28125,10026.898169069442,6748.398693407976,0.00027721119894754477,30.765686396849095,-0.2127783571991165,-0.027828583672269903,[np.float64(0.3269704569030973)],False,
1856,85816.390625,10027.07462479059,8753.677576017766,0.00025961784129379794,30.967670222594244,0.7648345500164578,0.0015338600073475871,[np.float64(0.1269958683287867)],False,
1857,86241.046875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0499149244801586,[np.float64(0.0)],False,
1858,85877.28125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1859,85173.78125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1860,85502.171875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1861,85356.0703125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1862,85513.8125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1863,86171.859375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1864,84691.7578125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1865,83802.0078125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1866,84093.4296875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1867,84060.53125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1868,84174.7890625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1869,84530.1015625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1870,84350.0,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1871,84141.3125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1872,84223.390625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1873,84507.0703125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1874,84775.0703125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1875,84685.3984375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1876,84451.9609375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1877,84662.7421875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1878,84469.65625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1879,84200.0,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1880,83937.9765625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1881,84022.3203125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1882,84137.9921875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1883,84164.171875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1884,84046.5234375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1885,83467.9765625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1886,83935.703125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,-2.293267287313938e-06,[np.float64(0.0)],False,
1887,84240.328125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1888,83565.4765625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1889,84095.96875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1890,84024.109375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1891,84101.65625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1892,83956.359375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1893,84216.203125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1894,84394.0,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1895,84185.390625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1896,84088.7890625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1897,84206.2421875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1898,84075.4765625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1899,84188.9609375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1900,84256.7421875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1901,84367.3984375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1902,84323.296875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1903,84335.828125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1904,84274.71875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1905,84222.0078125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1906,84360.0078125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1907,84413.6171875,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1908,84239.25,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1909,84232.390625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1910,84168.3125,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1911,84007.2265625,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1912,84109.09375,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1913,84141.0,10032.096560257161,10032.096560257161,0.0,37.39396949593075,0.0,0.0,[np.float64(0.0)],False,
1914,84238.828125,10030.090642299261,8024.674038549703,0.0001999500249874806,37.39396949593075,-1.0027083018748064,-0.020212333259146103,[np.float64(0.1999400279886048)],False,
1915,84239.140625,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-0.02015212048326546,[np.float64(0.0)],False,
1916,84171.59375,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1917,83944.6875,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1918,84010.8671875,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1919,83961.390625,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1920,83840.59375,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1921,84007.0,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1922,84067.5625,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1923,84233.78125,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1924,84224.390625,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1925,84100.0,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1926,84230.1015625,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1927,84242.2421875,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1928,84279.8203125,10028.093159087435,10028.093159087435,0.0003990592739693068,35.39598864783297,0.0,-3.9905927396930685e-05,[np.float64(0.0)],False,
1929,84347.1171875,10026.334388071315,8268.002954808357,0.0005743736766523992,35.39598864783297,-0.8791657166313164,-0.017769506704386182,[np.float64(0.17537131370313233)],False,
1930,84325.65625,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-0.022241604945676677,[np.float64(0.0)],False,
1931,84461.9765625,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1932,84679.9921875,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1933,84725.2421875,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1934,85093.59375,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1935,84899.7578125,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1936,85189.40625,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1937,85250.0,10024.129560792131,10024.129560792131,0.0007941509949766759,33.190498206287714,0.0,-7.941509949766759e-05,[np.float64(0.0)],False,
1938,85017.65625,10022.688495447523,8581.983327131751,0.0009377964768510542,33.190498206287714,-0.7203525841577477,-0.014612549831075988,[np.float64(0.14374438245488372)],False,
1939,84972.78125,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.022206470271141743,[np.float64(0.0)],False,
1940,85011.1875,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1941,85102.6171875,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1942,85179.9921875,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1943,85361.2109375,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1944,86082.5,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1945,86021.7421875,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1946,85563.0390625,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1947,85883.15625,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1948,86532.0703125,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
1949,86841.828125,10020.488461094541,10020.488461094541,0.0011570960359977695,30.98972364231699,0.0,-0.00011570960359977696,[np.float64(0.0)],False,
