step,raw_action,target_weight,position_weight,risk_multiplier,forced_exit,exit_reason
2081,0.10726077109575272,0.05363038554787636,0.05363038554787636,1.0,False,
2082,0.014825886115431786,0.06101940103034861,0.06101940103034861,1.0,False,
2083,-0.2755724787712097,0.0,0.0,1.0,False,
2084,-0.021845350041985512,0.0,0.0,1.0,False,
2085,-0.7082839608192444,0.0,0.0,1.0,False,
2086,1.0,0.5,0.2,1.0,False,
2087,0.7752730846405029,0.5875765703088562,0.39994002798860484,1.0,False,
2088,-0.2694222331047058,0.26520890043297635,0.26520890043297635,1.0,False,
2089,-0.9611247181892395,0.0,0.06524482256659392,1.0,False,
2090,-0.7602939605712891,0.0,0.0,1.0,False,
2091,0.07124870270490646,0.03562435135245323,0.03562435135245323,1.0,False,
2092,-0.48230302333831787,0.0,0.0,1.0,False,
2093,-0.4673956334590912,0.0,0.0,1.0,False,
2094,-0.99078768491745,0.0,0.0,1.0,False,
2095,-0.27658727765083313,0.0,0.0,1.0,False,
2096,-0.12922431528568268,0.0,0.0,1.0,False,
2097,0.2151191532611847,0.10755957663059235,0.10755957663059235,1.0,False,
2098,-0.6143563985824585,0.0,0.0,1.0,False,
2099,-0.6969946622848511,0.0,0.0,1.0,False,
2100,0.4344123899936676,0.2172061949968338,0.2,1.0,False,
2101,-0.37828412652015686,0.010797964728526399,0.010797964728526399,1.0,False,
2102,-0.3518439829349518,0.0,0.0,1.0,False,
2103,-0.6887032985687256,0.0,0.0,1.0,False,
2104,-0.2147708684206009,0.0,0.0,1.0,False,
2105,-0.8195842504501343,0.0,0.0,1.0,False,
2106,-1.0,0.0,0.0,1.0,False,
2107,-0.29564863443374634,0.0,0.0,1.0,False,
2108,-0.45207443833351135,0.0,0.0,1.0,False,
2109,-0.8128424882888794,0.0,0.0,1.0,False,
2110,-0.3779531419277191,0.0,0.0,1.0,False,
2111,-0.5701135993003845,0.0,0.0,1.0,False,
2112,-0.5923413038253784,0.0,0.0,1.0,False,
2113,-0.29787516593933105,0.0,0.0,1.0,False,
2114,-0.32695284485816956,0.0,0.0,1.0,False,
2115,0.03753779083490372,0.01876889541745186,0.01876889541745186,1.0,False,
2116,0.6687062978744507,0.3531130166108603,0.21875986767363498,1.0,False,
2117,-0.43468916416168213,0.001359040581587645,0.0187036226624287,1.0,False,
2118,0.6974309086799622,0.367422829918389,0.21870737557840791,1.0,False,
2119,1.0,0.7186511650993019,0.41865116509930195,1.0,False,
