step,price,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
2081,82198.4296875,9999.46383015348,9463.427992593497,5.361698465203517e-05,0.0,-0.2680179187799971,-0.0054206391707770476,[np.float64(0.05360645797263272)],False,
2082,82332.6328125,10000.339001185166,9463.427992593497,0.0,0.0,0.6071531129055608,0.00874454317192498,[np.float64(0.053689280786185185)],False,
2083,82343.640625,9999.873937244933,9999.873937244933,4.650481750451991e-05,0.4104463235738742,0.0,-0.004708787987985918,[np.float64(0.0)],False,
2084,82758.3984375,9999.873937244933,9999.873937244933,4.650481750451991e-05,0.4104463235738742,0.0,-4.650481750451991e-06,[np.float64(0.0)],False,
2085,82511.171875,9999.873937244933,9999.873937244933,4.650481750451991e-05,0.4104463235738742,0.0,-4.650481750451991e-06,[np.float64(0.0)],False,
2086,82518.7421875,9997.87446220131,7998.899162402222,0.0002464455438525538,0.4104463235738742,-0.9994876498995633,-0.02021698281103014,[np.float64(0.1999400279886048)],False,
2087,82389.75,9992.748741078638,5996.448494816342,0.0007590002804533534,0.4104463235738742,-5.124483801263336,-0.05149913763764997,[np.float64(0.39992001698532925)],False,
2088,82648.5390625,10003.946239787649,7350.45129444943,0.0,2.2441202621612852,4.916681039011104,0.11145485945165853,[np.float64(0.26524482256659393)],False,
2089,82799.7265625,10006.795405605617,9353.773010441597,0.0,8.61196721781073,2.400161840296808,0.028272721139643128,[np.float64(0.06525789413044361)],False,
2090,82941.1328125,10007.256670069273,10007.256670069273,0.0,11.800298804217558,0.0,0.004544221745117807,[np.float64(0.0)],False,
2091,83330.0,10006.90025712255,9650.5763913667,3.561544971551853e-05,11.800298804217558,-0.17816193287789817,-0.003600715809024748,[np.float64(0.03560781626680376)],False,
2092,83088.8125,10005.513721809803,10005.513721809803,0.0001741684376582156,10.413159002534707,0.0,-0.013907930310566995,[np.float64(0.0)],False,
2093,83109.8125,10005.513721809803,10005.513721809803,0.0001741684376582156,10.413159002534707,0.0,-1.741684376582156e-05,[np.float64(0.0)],False,
2094,82958.296875,10005.513721809803,10005.513721809803,0.0001741684376582156,10.413159002534707,0.0,-1.741684376582156e-05,[np.float64(0.0)],False,
2095,83178.140625,10005.513721809803,10005.513721809803,0.0001741684376582156,10.413159002534707,0.0,-1.741684376582156e-05,[np.float64(0.0)],False,
2096,83076.59375,10005.513721809803,10005.513721809803,0.0001741684376582156,10.413159002534707,0.0,-1.741684376582156e-05,[np.float64(0.0)],False,
2097,83378.09375,10004.43780190266,8928.786807510412,0.0002816824090305794,10.413159002534707,-0.5378254971960162,-0.010888583377213957,[np.float64(0.10751738535349577)],False,
2098,83502.3203125,10004.96344988131,10004.96344988131,0.0002291557280450109,10.939338983923554,0.0,0.00512366679322949,[np.float64(0.0)],False,
2099,83120.8671875,10004.96344988131,10004.96344988131,0.0002291557280450109,10.939338983923554,0.0,-2.291557280450109e-05,[np.float64(0.0)],False,
2100,83111.7578125,10002.962957189508,8002.97026356006,0.000429059933338955,10.939338983923554,-0.9999963468146957,-0.020235244249982465,[np.float64(0.19994002798860483)],False,
2101,83072.7578125,10000.133885315674,9892.13237792608,0.0007117619731792046,8.160053702336498,-0.10472935508659961,-0.02853511854850778,[np.float64(0.010800006142736145)],False,
2102,82678.421875,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-0.006289325941089434,[np.float64(0.0)],False,
2103,82803.28125,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2104,82729.5703125,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2105,82284.0078125,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2106,82415.53125,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2107,82729.6484375,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2108,82548.8125,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2109,82554.7265625,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2110,82237.6796875,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
2111,82438.0,9999.51375377235,9999.51375377235,0.0007737301592435519,7.488910350622542,0.0,-7.73730159243552e-05,[np.float64(0.0)],False,
