step,capital
0,9999.488377481046
1,9998.87642053026
2,9987.021150097635
3,9968.32481087634
4,9966.331644081321
5,9971.697915607438
6,9969.4610011804
7,9993.258652130859
8,9890.25382712499
9,9737.341005360213
10,9735.987341077413
11,9743.626597503013
12,9760.131000140165
13,9782.638416784082
14,9771.509690387482
15,9815.800398582584
16,9793.967534578725
17,9794.454425811618
18,9792.534071047878
19,9706.330177570384
20,9819.380919204119
21,9792.89373719012
22,9911.493182636556
23,9911.493182636556
24,9910.70708418744
25,9893.876733947669
26,9896.468653224878
27,9865.628563616989
28,9864.369100427046
29,9850.642544251255
30,9887.519852503916
31,9895.037549625667
32,9903.754353581078
33,9901.366333545795
34,9867.452831577079
35,9830.45932207729
36,9890.401888967523
37,9898.695521218564
38,9904.606298905284
39,9912.978501361467
40,9930.489105912726
41,9924.179327158216
42,9937.019952072065
43,9967.94340863849
44,9981.384398636406
45,9997.435568227853
46,9992.341269500466
47,9963.104066070597
48,9944.50694825147
49,9896.789664329699
50,9955.113437764352
51,9958.6928880346
52,9956.827731714307
53,9975.053395253728
54,9973.5613628051
55,9978.317494989942
56,9965.18507936422
57,9961.531819669543
58,9978.695214978146
59,9991.580397201238
60,9942.139703692714
61,10020.293070499281
62,10040.962588819983
63,10059.45213655609
64,10043.951977088347
65,10099.816135212965
66,10018.036285504468
67,10004.551176154095
68,10004.025320856323
69,10005.830798032302
70,10005.459637516384
71,10003.818171625928
72,9990.378085571734
73,9977.101471561982
74,9978.78674649761
75,9979.835623763503
76,9979.810122087096
77,9979.469301646224
78,9976.830056767078
79,9977.407322963267
80,9977.052210885358
81,9980.858814855097
82,9980.482811464055
83,9979.295434336787
84,9979.380060729593
85,9978.499964382312
86,9977.923306470464
87,9976.187009496389
88,9971.944012479216
89,9963.858971968664
90,9961.56414479962
91,9958.93821056252
92,9951.83750695149
93,9958.751846664414
94,9973.798980164429
95,10006.347196622068
96,10012.930632416437
97,10012.606313272418
98,9980.189038264425
99,9969.16632010514
100,9905.781473879457
101,9977.803451202888
102,9907.815342463973
103,9927.251032767506
104,9977.816902856874
105,10045.807042902023
106,10011.637296772957
107,10059.467968639474
108,10071.781444966695
109,10148.78550965076
110,10107.043114176571
111,10114.372380704623
112,10138.29253788938
113,10125.472830154815
114,10141.858335497685
115,10194.015598458975
116,10214.631870624326
117,10240.275454050967
118,10262.128444496895
119,10281.874736119566
120,10301.279196607074
121,10289.996647444726
122,10411.0497592629
123,10415.824812143721
124,10382.098725545651
125,10399.976417186372
126,10398.436292786137
127,10361.245509441069
128,10367.751700507473
129,10386.829947855971
130,10346.621263807163
131,10377.374624657716
132,10380.72779818621
133,10402.89088535099
134,10394.775925017293
135,10390.418086553123
136,10367.004556560367
137,10356.796219037662
138,10313.00253756845
139,10320.882016997048
140,10330.182071028654
141,10323.444433703151
142,10347.010785997587
143,10351.044718073925
144,10390.840029889201
145,10350.456496384451
146,10376.817862850434
147,10378.894900548068
148,10386.195769752707
149,10361.71825052752
150,10371.152865076325
151,10382.14357589189
152,10382.071489900534
153,10381.323717883524
154,10375.884589549
155,10365.43788768154
156,10318.169661428921
157,10329.84106045627
158,10373.674697005483
159,10383.100295634811
160,10381.420447918246
161,10360.839430356491
162,10366.493059713786
163,10365.567148804274
164,10320.696841975408
165,10292.023797702152
166,10142.638385270866
167,10185.206093248813
168,10165.54000639121
169,10261.176245432804
170,10254.735945732407
171,10293.34505205814
172,10327.64459982054
173,10301.618019902602
174,10227.368998871747
175,10241.954383487353
176,10186.514729840666
177,10103.708129333321
178,10162.88523370193
